id	village	rus_village	village_altnames	lat	lon	coord_source	settlement_type	lang	aff	family	republic	region	elevation	kutans	source	page	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltl_village_dialect	gltc_village_dialect	gltl_dialect	gltc_dialect	gltc_lang	lang_col	aff_col	dialect_comment	villagelang_comment	manual	version
647	Veduchi	Ведучи	NA	42.684722	45.568611	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1202.07214355469	FALSE	korjakov2006	map 8	Itum-Kali	Итум-калинский	Chanti	Чантинский	NA	NA	NA	NA	Veduchi	NA	NA	Itumkala	itum1244	chec1245	#996600	#996633	NA	NA	no	2022-06-02
648	Sakan-iiste	Сакан-Иисте	NA	42.689444	45.476389	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1370.56384277344	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sakan-iiste	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
649	Shundili	Шундили	NA	42.698533	45.417414	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1820.47961425781	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Shundili	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
650	Lyunki	Люнки	NA	42.70167	45.47944	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1478.56750488281	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lyunki	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
651	Sadoy	Садой	NA	42.701835	46.063155	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1788.23071289063	FALSE	arsakhanov1969	37	Cheberloy	Чеберлоевский	NA	NA	NA	NA	NA	NA	Sadoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
652	Doza	Доза	NA	42.70201	45.28279	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1168.83544921875	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Doza	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
653	Khindoy	Хиндой	NA	42.703677	46.006265	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1742.41455078125	FALSE	arsakhanov1969	37	Cheberloy	Чеберлоевский	NA	NA	NA	NA	NA	NA	Khindoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
654	Kamalkhi	Камалхи	NA	42.706181	45.280203	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1345.57629394531	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Kamalkhi	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
655	Tazbichi	Тазбичи	NA	42.707778	45.597222	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1073.07141113281	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tazbichi	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
656	Pezhey	Пежей	NA	42.713149	45.427287	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1285.93981933594	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pezhey	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
657	Malilaul	Малилаул	NA	42.714121	46.046985	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1655.38256835938	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Malilaul	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
658	Cacakh	Цацах	NA	42.714722	45.504167	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1030.90075683594	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cacakh	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
659	Korotakh	Коротах	NA	42.7175	45.263333	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1720.28405761719	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Korotakh	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
660	Khorci-pada	Хорци-Пада	NA	42.718039	45.410685	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1153.46826171875	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Khorci-pada	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
661	Bechigi	Бечиги	NA	42.72	45.49	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	896.9091796875	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bechigi	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
662	Basty	Басты	NA	42.72353	45.28124	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1410.01904296875	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Basty	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
663	Tuskharoy	Тусхарой	NA	42.724444	45.530278	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1346.51806640625	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tuskharoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
664	Kharkaroy	Харкарой	NA	42.72463	46.068851	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1542.5634765625	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Kharkaroy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
665	Arsoy	Арсой	NA	42.725755	46.034167	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1579.14086914063	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Arsoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
666	Buni	Буни	NA	42.725755	46.034167	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1579.14086914063	FALSE	korjakov2006	map 8	Cheberloy	Чеберлоевский	Upper Cheberloy	Верхнечеберлоевский	NA	NA	NA	NA	Buni	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
667	Kulinkhoy	Кулинхой	NA	42.725755	46.034167	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1579.14086914063	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Kulinkhoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
668	Rigakhoy	Ригахой	NA	42.725755	46.034167	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1579.14086914063	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rigakhoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
669	Sakhani	Сахани	NA	42.725931	45.22735	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1335.2666015625	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sakhani	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
670	Baskhoy	Басхой	NA	42.726667	45.4225	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1313.28503417969	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Baskhoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
671	Pezh-baskhoy	Пеж-басхой	NA	42.726787	45.423122	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1304.69958496094	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pezh-baskhoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
672	Boturchu	Ботурчу	NA	42.72694	45.54556	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1249.0654296875	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Boturchu	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
673	Tunzhi-aul	Тунжи-аул	NA	42.727656	46.048118	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1548.58532714844	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tunzhi-aul	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
674	Beki	Беки	NA	42.7291	45.368891	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1448.65576171875	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Beki	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
675	Tongakhoy	Тонгахой	NA	42.729134	45.465145	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1144.01062011719	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tongakhoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
676	Itum-kali	Итум-кали	NA	42.730833	45.571944	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	783.280456542969	FALSE	korjakov2006	map 8	Itum-Kali	Итум-калинский	Chanti	Чантинский	NA	NA	NA	NA	Itum-kali	NA	NA	Itumkala	itum1244	chec1245	#996600	#996633	NA	NA	no	2022-06-02
677	Korichu	Коричу	NA	42.73195	45.4	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1346.2255859375	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Korichu	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
678	Shundi	Шунди	NA	42.732778	45.358611	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1183.20581054688	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Shundi	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
679	Shyunda	Шюнда	NA	42.732778	45.358611	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1183.20581054688	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Shyunda	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
680	Kay	Кай	NA	42.7332	45.25552	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	2249.97900390625	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Kay	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
681	Gezakh	Гезах	NA	42.733611	45.441667	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1515.21362304688	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gezakh	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
682	Gezekhoy	Гезехой	NA	42.733611	45.441667	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1515.21362304688	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gezekhoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
683	Tundukh	Тундух	NA	42.734574	46.04	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1492.85815429688	FALSE	arsakhanov1969	37	Cheberloy	Чеберлоевский	NA	NA	NA	NA	NA	NA	Tundukh	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
684	Ikil'chi	Икильчи	NA	42.735345	45.212748	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1426.9560546875	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ikil'chi	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
685	Ikharoy	Ихарой	NA	42.735663	46.083421	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1700.14916992187	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ikharoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
686	Erstakho	Эрстахо	NA	42.736111	45.396389	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1338.62316894531	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Erstakho	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
687	Erstakhoy	Эрстахой	NA	42.736111	45.396389	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1338.62316894531	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Erstakhoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
688	Obuzalaul	Обузалаул	NA	42.736781	46.064346	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1502.77233886719	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Obuzalaul	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
689	Nakhorusty	Нахорусты	NA	42.736884	45.242665	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	2052.9072265625	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nakhorusty	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
690	Cinchemekhi	Цинчемехи	NA	42.737644	45.227823	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1947.99108886719	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cinchemekhi	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
691	Charydy	Чарыды	NA	42.738027	45.904195	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1329.85913085938	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Charydy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
692	Baskho	Басхо	NA	42.741171	45.547363	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1329.41149902344	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Baskho	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
693	Benesty	Бенесты	NA	42.741458	45.221111	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1866.19787597656	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Benesty	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
694	Khildekharoy	Хилдехарой	NA	42.748333	45.667778	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1270.72216796875	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Khildekharoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
695	Terta	Терта	NA	42.74854	45.19644	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1587.31652832031	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Terta	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
696	Makazhoy	Макажой	NA	42.749168	46.064999	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1704.94665527344	FALSE	korjakov2006	map 8	Cheberloy	Чеберлоевский	Upper Cheberloy	Верхнечеберлоевский	NA	NA	NA	NA	Makazhoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
697	Kokadoy	Кокадой	NA	42.749722	45.583889	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	830.855285644531	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Kokadoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
698	El'deporoy	Эльдепорой	NA	42.75036	45.3921	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1345.08361816406	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	El'deporoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
699	Khoy	Хой	NA	42.750984	46.127223	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1736.08984375	FALSE	arsakhanov1969	37	Cheberloy	Чеберлоевский	NA	NA	NA	NA	NA	NA	Khoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
700	Alikhanaul	Алиханаул	NA	42.751391	46.050726	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1700.78198242188	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alikhanaul	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
701	Charakhaul	Чарахаул	NA	42.751768	46.05799	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1743.8740234375	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Charakhaul	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
702	Meshi	Меши	NA	42.752222	45.178611	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1706.50305175781	FALSE	arsakhanov1969	37	Melkhi	Мелхинский	NA	NA	NA	NA	NA	NA	Meshi	NA	NA	Melkhin	melk1240	chec1245	#996600	#996633	NA	NA	no	2022-06-02
703	Bugaroy	Бугарой	NA	42.754722	45.616667	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1515.08618164062	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bugaroy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
704	Ari-aul	Ари-аул	NA	42.755433	46.027349	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1838.66015625	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ari-aul	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
705	Senakhoy	Сенахой	NA	42.757193	45.410183	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1609.8251953125	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Senakhoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
706	Nokhchi-keloy	Нохчи-келой	NA	42.757485	45.93201	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1132.38952636719	FALSE	korjakov2006	map 8	Cheberloy	Чеберлоевский	Day	Дайский	NA	NA	NA	NA	Nokhchi-keloy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
707	Bavloy	Бавлой	NA	42.7575	45.450833	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1269.76733398438	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bavloy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
708	Bauloy	Баулой	NA	42.7575	45.450833	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1269.76733398438	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bauloy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
709	Kezenoy	Кезеной	NA	42.758113	46.120906	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1773.09228515625	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Kezenoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
710	Zumsoy	Зумсой	NA	42.758333	45.640278	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1100.62902832031	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Zumsoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
711	Tukhoy	Тухой	NA	42.759357	45.436405	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1445.41796875	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tukhoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
712	Konzhukhoy	Конжухой	NA	42.76104	45.591216	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	755.4677734375	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Konzhukhoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
713	Dzhelashkhoy	Джелашхой	NA	42.762717	45.401728	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1776.11401367188	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Dzhelashkhoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
714	Kenakho	Кенахо	NA	42.763056	45.357778	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1722.18481445313	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Kenakho	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
715	Dzheloshka	Джелошка	NA	42.764119	46.062327	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	2074.76416015625	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Dzheloshka	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
716	Ezikho	Эзихо	NA	42.766389	45.503611	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1598.63146972656	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ezikho	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
717	Kuloy	Кулой	NA	42.767584	45.956857	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1361.5205078125	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Kuloy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
718	Oshni	Ошни	NA	42.770556	45.378333	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1350.43725585938	FALSE	arsakhanov1969	37	Galanchozh	Галанчожский	NA	NA	NA	NA	NA	NA	Oshni	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
719	Idakh	Идах	NA	42.771111	45.448333	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1457.45556640625	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Idakh	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
